Ax;Ay;Az;Gx;Gy;Gz;Room ;Obj,,
15352;-1688;5572;-684;475;161;33,25;35,17
15188;-1836;5852;-576;400;137;33,25;35,43
15148;-1808;6000;-503;427;61;33,25;35,55
15080;-1884;6108;-493;134;46;33,29;35,55
15084;-1768;6076;-352;-326;-32;33,29;35,51
15144;-1832;6040;-328;110;-39;33,35;35,39
14904;-1996;6176;-319;-60;-94;33,35;34,99
15064;-1836;6096;-294;46;-22;33,35;34,99
14968;-1864;6092;-363;-54;-46;33,39;34,69
15012;-1856;5928;-295;-565;-14;33,35;34,51
15160;-1800;6048;-173;-383;-68;33,35;33,89
15168;-1664;5680;-68;-483;-192;33,29;32,59
15316;-1780;5596;-115;-391;-100;33,25;31,67
15308;-1524;5456;-155;-239;-109;33,25;31,47
15200;-1548;5428;-208;-2;-2;33,21;31,73
15364;-1472;5308;-138;-291;-112;33,17;32,11
15620;-1548;5328;16;-84;-254;33,17;32,11
15468;-1456;5144;-245;-195;-55;33,17;32,81
15588;-1384;5284;-339;-360;41;33,13;33,33
15648;-1252;5192;-383;-216;8;33,13;33,63
15436;-1384;5112;-333;176;-47;33,13;33,93
15380;-1396;5076;-553;363;102;33,13;34,61
15404;-1512;5352;-731;443;160;33,13;34,95
15504;-1732;5544;-653;361;169;33,17;35,29
15340;-1696;5500;-543;471;87;33,17;35,47
15316;-1792;5852;-637;491;94;33,25;35,47
15264;-1800;5872;-535;265;51;33,25;35,69
15156;-1752;5944;-350;127;-81;33,29;35,69
15116;-1716;6068;-405;164;21;33,35;35,73
15108;-1784;6016;-259;56;-134;33,35;35,65
15044;-1836;5932;-318;5;-88;33,35;35,39
15088;-1892;6036;-339;52;-57;33,39;34,95
15112;-2080;6088;-277;-123;-8;33,39;34,55
15176;-1808;5992;-135;-455;-61;33,39;33,7
15232;-1728;5808;42;-390;-242;33,35;32,45
15212;-1692;5560;-121;-416;-100;33,29;32,45
15392;-1596;5656;-67;-621;-127;33,25;32,11
15564;-1424;5352;-326;-138;3;33,21;32,33
15304;-1500;5200;-59;-317;-196;33,21;32,51
15336;-1404;5432;-183;-167;-129;33,17;32,81
15576;-1336;5040;-322;-55;-43;33,17;33,11
15664;-1612;5092;-403;-271;15;33,17;33,63
15488;-1492;5180;-522;258;135;33,17;34,21
15404;-1384;5224;-459;431;27;33,17;34,99
15360;-1532;5296;-712;452;163;33,21;34,99
15332;-1600;5596;-633;198;117;33,25;35,25
15308;-1628;5848;-762;512;153;33,25;35,55
15064;-1912;5928;-471;246;-1;33,25;35,65
15156;-1808;5792;-385;217;12;33,29;35,69
14996;-1824;6108;-336;-48;-33;33,35;35,59
15224;-1772;6100;-261;49;-78;33,35;35,65
15040;-1924;5996;-294;128;-11;33,35;35,43
